title,author,image_url,rating,rating_count
Tom Lake,Ann Patchett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691084837i/63241104._SY75_.jpg,4.14,"112,672"
"Secretly Yours (A Vine Mess, #1)",Tessa Bailey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658425744i/61109599._SX50_.jpg,3.32,"87,858"
The Wishing Game,Meg Shaffer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670879379i/60864829._SY75_.jpg,4.20,"56,669"
Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682956296i/61190770._SY75_.jpg,4.14,"16,957"
The Only One Left,Riley Sager,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668181003i/62703226._SY75_.jpg,4.15,"139,085"
"Not in a Billion Years (True Love, #1)",Camilla Isley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688811112i/174186566._SY75_.jpg,3.87,824
Romantic Comedy,Curtis Sittenfeld,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1679496983i/62628727._SY75_.jpg,3.69,"132,008"
"Heir of Broken Fate (HOBF, #1)",Mads Rafferty,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682909594i/145622214._SY75_.jpg,3.78,"3,099"
Go as a River,Shelley Read,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670147458i/63922274._SY75_.jpg,4.32,"34,592"
Someone Else's Shoes,Jojo Moyes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666822989i/62971668._SY75_.jpg,3.98,"136,592"
The Seven Year Slip,Ashley Poston,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685350807i/62926938._SX50_.jpg,4.30,"52,094"
The Writing Retreat,Julia Bartz,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674683360i/61273863._SY75_.jpg,3.44,"49,065"
The House of Eve,Sadeqa Johnson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675909166i/61273858._SX50_.jpg,4.26,"53,035"
"These Infinite Threads (This Woven Kingdom, #2)",Tahereh Mafi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656264319i/61085925._SY75_.jpg,4.14,"17,866"
"The General (Heroes of the Empire, #2)",Israh Azizi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1698603876i/198566969._SY75_.jpg,4.65,17
Big Swiss,Jen Beagin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1653958990i/60701439._SY75_.jpg,3.69,"36,294"
Atalanta,Jennifer Saint,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675082381i/61884838._SY75_.jpg,3.80,"10,490"
"Chain of Thorns (The Last Hours, #3)",Cassandra Clare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666441294i/17699859._SY75_.jpg,4.05,"39,526"
"Lost in the Moment and Found (Wayward Children, #8)",Seanan McGuire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652284977i/60784912._SY75_.jpg,4.34,"10,721"
Hang the Moon,Jeannette Walls,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655999030i/61341819._SY75_.jpg,3.84,"46,114"
