title,author,image_url
"Reckless (Chestnut Springs, #4)",Elsie Silver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681482426i/108518990._SY75_.jpg
None of This Is True,Lisa Jewell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1686092508i/62334530._SY75_.jpg
Tom Lake,Ann Patchett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691084837i/63241104._SY75_.jpg
"Secretly Yours (A Vine Mess, #1)",Tessa Bailey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658425744i/61109599._SX50_.jpg
The Wishing Game,Meg Shaffer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670879379i/60864829._SY75_.jpg
Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682956296i/61190770._SY75_.jpg
The Only One Left,Riley Sager,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668181003i/62703226._SY75_.jpg
"Not in a Billion Years (True Love, #1)",Camilla Isley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688811112i/174186566._SY75_.jpg
Romantic Comedy,Curtis Sittenfeld,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1679496983i/62628727._SY75_.jpg
"Heir of Broken Fate (HOBF, #1)",Mads Rafferty,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682909594i/145622214._SY75_.jpg
Go as a River,Shelley Read,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670147458i/63922274._SY75_.jpg
Someone Else's Shoes,Jojo Moyes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666822989i/62971668._SY75_.jpg
The Seven Year Slip,Ashley Poston,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685350807i/62926938._SX50_.jpg
The Writing Retreat,Julia Bartz,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674683360i/61273863._SY75_.jpg
The House of Eve,Sadeqa Johnson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675909166i/61273858._SX50_.jpg
"These Infinite Threads (This Woven Kingdom, #2)",Tahereh Mafi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656264319i/61085925._SY75_.jpg
"The General (Heroes of the Empire, #2)",Israh Azizi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1698603876i/198566969._SY75_.jpg
Big Swiss,Jen Beagin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1653958990i/60701439._SY75_.jpg
Atalanta,Jennifer Saint,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675082381i/61884838._SY75_.jpg
"Chain of Thorns (The Last Hours, #3)",Cassandra Clare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666441294i/17699859._SY75_.jpg
"Lost in the Moment and Found (Wayward Children, #8)",Seanan McGuire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652284977i/60784912._SY75_.jpg
Hang the Moon,Jeannette Walls,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655999030i/61341819._SY75_.jpg
Yumi and the Nightmare Painter,Brandon Sanderson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1689135481i/60531416._SY75_.jpg
I Have Some Questions for You,Rebecca Makkai,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658970269i/61053829._SY75_.jpg
"Fall of Ruin and Wrath (Awakening, #1)",Jennifer L. Armentrout,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677160116i/65214365._SX50_.jpg
"The Love Wager (Mr. Wrong Number, #2)",Lynn Painter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655833044i/60487511._SY75_.jpg
The Wind Knows My Name,Isabel Allende,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684816057i/62583516._SY75_.jpg
The Villa,Rachel Hawkins,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651426717i/60784641._SY75_.jpg
"Magic Claims (Kate Daniels: Wilmington Years, #2; Kate Daniels, #10.6)",Ilona Andrews,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676060503i/109554429._SY75_.jpg
Lone Women,Victor LaValle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673265868i/60460704._SY75_.jpg
"The Last Devil to Die (Thursday Murder Club, #4)",Richard Osman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680740298i/62226126._SY75_.jpg
"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1695913246i/53344030._SY75_.jpg
Throne of the Fallen,Kerri Maniscalco,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673510962i/73071451._SY75_.jpg
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659407155i/61714633._SY75_.jpg
The Last Tale of the Flower Bride,Roshani Chokshi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675641961i/61150759._SY75_.jpg
"Magic Tides (Kate Daniels: Wilmington Years, #1; Kate Daniels, #10.5)",Ilona Andrews,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670870689i/65969788._SY75_.jpg
The Bandit Queens,Parini Shroff,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1653323706i/61065982._SY75_.jpg
"Mysteries of Thorn Manor (Sorcery of Thorns, #1.5)",Margaret  Rogerson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678637845i/61272184._SY75_.jpg
A House with Good Bones,T. Kingfisher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664972416i/60784409._SY75_.jpg
"Lore Olympus: Volume Four (Lore Olympus, #4)",Rachel  Smythe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663971909i/62698816._SX50_.jpg
Devious Obsession,S. Massery,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678112196i/65001465._SX50_.jpg
"The Bitter Past (Porter Beck, #1)",Bruce Borgos,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680589749i/61884882._SY75_.jpg
The House Is on Fire,Rachel Beanland,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678326118i/61273814._SY75_.jpg
The Ferryman,Justin Cronin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659983263i/61282437._SY75_.jpg
"Immortal Longings (Flesh and False Gods, #1)",Chloe Gong,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681921623i/62919356._SY75_.jpg
"That Time I Got Drunk and Saved a Human (Mead Mishaps, #3)",Kimberly Lemming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684867278i/122752652._SY75_.jpg
"Bone Island: Book of Danvers (Tales of Weeping Hollow, #2)",Nicole Fiorina,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677751800i/123164084._SY75_.jpg
Stone Cold Fox,Rachel Koller Croft,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655672906i/61053935._SY75_.jpg
"The Crown of Oaths and Curses (The Mortal Fates, #1)",J.  Bree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672867196i/63119009._SY75_.jpg
"Georgie, All Along",Kate Clayborn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675710465i/60604190._SX50_.jpg
"God of Ruin (Legacy of Gods, #4)",Rina Kent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691970083i/63346945._SY75_.jpg
Murder Your Employer: The McMasters Guide to Homicide,Rupert Holmes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675615554i/61272658._SX50_.jpg
A Study in Drowning,Ava Reid,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675782203i/75302266._SY75_.jpg
Out on a Limb,Hannah Bonam-Young,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682792551i/124950295._SY75_.jpg
The Drift,C.J. Tudor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673872095i/60965424._SY75_.jpg
The Drowning Woman,Robyn Harding,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681110477i/62874245._SY75_.jpg
"Sword Catcher (Sword Catcher, #1)",Cassandra Clare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674841074i/36679274._SY75_.jpg
"Practice Makes Perfect (When in Rome, #2)",Sarah       Adams,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659979546i/61897968._SY75_.jpg
"Poverty, by America",Matthew Desmond,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1665696294i/61358638._SY75_.jpg
Thornhedge,T. Kingfisher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676554049i/61884932._SY75_.jpg
"A Fire in the Flesh (Flesh and Fire, #3)",Jennifer L. Armentrout,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681507578i/61150440._SX50_.jpg
"Finlay Donovan Jumps the Gun (Finlay Donovan, #3)",Elle Cosimano,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673297894i/60784612._SY75_.jpg
"Really Good, Actually",Monica Heisey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655905197i/60877616._SY75_.jpg
"The Last Chance Cowboy (Colorado Cowboys, #5)",Jody Hedlund,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656313115i/61137200._SY75_.jpg
"The Chalice of the Gods (Percy Jackson and the Olympians, #6)",Rick Riordan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677259920i/63035432._SY75_.jpg
"Loathe to Love You (The STEMinist Novellas, #1-3)",Ali Hazelwood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672774685i/59054191._SY75_.jpg
